Disease,Resolution,Direction,CellType,Real_Score,P_Value,FDR_Adjusted_P
alzheimer,100,Positive,l4_it_sig,0.0698979011229754,0.0,0.0
alzheimer,100,Positive,sst_expr,0.1074924799044378,0.0,0.0
alzheimer,100,Positive,sst_sig,0.1074924799044378,0.0,0.0
alzheimer,100,Positive,oligo_sig,0.0075698772929512,0.067,0.1848204334365325
alzheimer,100,Positive,pvalb_sig,0.025767288490005,0.176,0.4113206557377049
alzheimer,100,Positive,pvalb_expr,0.025767288490005,0.176,0.4113206557377049
alzheimer,100,Positive,endothelial_sig,0.0006101032867971,0.361,0.7046024096385541
alzheimer,100,Positive,gad_sig,0.0006480767238781,0.378,0.7297898158179847
alzheimer,100,Positive,microglia_sig,0.0027995581291338,0.466,0.8422028397565923
alzheimer,100,Positive,l5_it_sig,-6.258285307466243e-05,0.544,0.9439221032132424
alzheimer,100,Positive,lamp5_sig,-0.0089378602873734,0.571,0.9812169720347156
alzheimer,100,Positive,pericyte_sig,0.0001659457001408,0.664,1.0
alzheimer,100,Positive,l6_ct_sig,-0.0036609938597251,0.68,1.0
alzheimer,100,Positive,opc_sig,-0.0057173792231007,0.814,1.0
alzheimer,100,Positive,l6_it_sig,-0.0102338934765749,0.866,1.0
alzheimer,100,Positive,astro_sig,-0.0115553099848722,0.916,1.0
alzheimer,100,Positive,vip_sig,-0.0324948929433222,1.0,1.0
alzheimer,300,Negative,pvalb_expr,0.0659548874898933,0.046,0.1316819277108433
alzheimer,300,Negative,pvalb_sig,0.0659548874898933,0.046,0.1316819277108433
alzheimer,300,Negative,endothelial_sig,0.000578422799695,0.268,0.5638441558441559
alzheimer,300,Negative,microglia_sig,0.0323963095950512,0.321,0.6441689189189189
alzheimer,300,Negative,pericyte_sig,8.586319537162906e-06,0.331,0.6579386503067485
alzheimer,300,Negative,l6_ct_sig,0.0031815928056171,0.405,0.7649284578696345
alzheimer,300,Negative,vip_sig,0.0042674183057346,0.423,0.787243864229765
alzheimer,300,Negative,gad_sig,-0.0023384376122481,0.605,1.0
alzheimer,300,Negative,oligo_sig,-0.0003730123691984,0.696,1.0
alzheimer,300,Negative,l6_it_sig,-0.010554695610858,0.869,1.0
